They do to!	They do not!
... Hello... ?	Wake up, pops.  Your education begins tonight.
How long you been working there?	Three, four years.
Three, four years.	What's your name, if you don't mind me asking?
I'm not a cop.	You're a private eye.  Like Shaft.
How much do you make now?	Four hundred a week, off the books.
Tomorrow night, I get off at eight.	"See you then.  Oh, and, don't call me ""pops."""
Big date tonight?	Yeah... guess so.
Yeah... guess so.	Can I interest you in a battery operated-vagina?
Mrs. Christian, Tom Welles here.	How are you?  Having any luck?
You told me to look, so I looked.	You're one hell of a detective, Mrs. Christian.
My husband never dealt with money personally, certainly not cash.	I'm not positive this means anything.
I'm not positive this means anything.	The checks were for odd amounts...
I deal in divorce cases.  Corporate investigations...	You've found missing persons before.
You've found missing persons before.	Nothing remotely like this.
You... you need to go to the police.	I told you I can't, not yet.
I told you I can't, not yet.	You don't have any other choice.
It's a film... of a girl being murdered.	I'm afraid I don't...
Do you want to tell me what you found?	Cash, stock certificates, and this...
Mister Welles. You're very prompt.	I try to be.
Mrs. Mathews, your daughter is dead. She's dead.	Who is this... ?
How... how can you say that to me...?	Will you let me look?
There wasn't one.  The police looked.	Do you think the police did a good job?
Do you think the police did a good job?	I don't know.  I think so.
We're all like that.	Are you religious?
What was she running from?	I don't know.
Why do you think he did it?	It got to be too much for him.
They hired you.  You're like, a private detective?	That's exactly what I am.
What was the name... ? I've got it here somewhere...	Neil... Neil Cole.
What is this?	Those are her belongings.
None too discreet, is he?	No, sir, he is not.
No, you may not.	Okay.  Fine.
Okay, I'll take it all.	Excellent.  we accept MasterCard and American Express.
I can't go back to sleep again.	I haven't slept much either.  Since Kristen...
I heard you screaming.  Was it a bad one?	It was bad.
It was bad.	Doesn't the dream master work for you anymore?
Doesn't the dream master work for you anymore?	I can't find him.
Yeah.  She'd be half as strict as you.	But she wouldn't let Dad treat me like that.
The mirror.  You can't see yourself in it.	I don't want to.
How'd you learn so much about dreams?	When they're all you have, you kinda become an expert.
I'm sure they're around.	Yeah, I'm not so sure.
You've been up all night?	That obvious, huh?
That obvious, huh?	Then you saw him, too?
Ohhhhbaby, I am dead on my feet.	We have matching luggage.
You look great!	Save it for later.  Come on!
What the hell was that?	Debbie.  She's gone.  I've...collected her, like the others.
Here we are.	Something's wrong here.  It feels like...
As long as your driving doesn't kill us.	It's okay, we're just about there.
I've been working double shifts.	Extra money, huh?
Extra money, huh?	Look, you know why, you just don't believe me.
It was Freddy.	Enough of that crap.
Been up with Alice.	How she doing?  I ran into her last night.
Hey man, we're all sorry...	She knew she was gonna die.
I don't get it.	Let me talk to you.
What's wrong with me?	Your distraught.  It'll help...
Now you know who and what Freddy really is.	I though Freddy was just an old town story.
What is it?	Oh God!  He killed them!
I gotta get out of here.	You just stay put.  You need rest.
You just stay put.  You need rest.	You don't get it, he's after me...
You don't get it, he's after me...	Don't worry, honey
Feeling better now?	Yeah.  I guess so... What happened?
Yeah.  I guess so... What happened?	You had a nasty bump.
Excuse us, dear.	It's okay, Dan
Where is he?	He's inside you, where he hides.
Who says I don't like you?	My friend, with the funny hand.
I'm sorry your boyfriend got killed.	How did you know that?
Shouldn't you be in your room, Jacob?	It's lonely in there, in my room.
It's lonely in there, in my room.	My name is...
Okay, babe.  What's the matter?	Nothing...it's just...I didn't see my father at the ceremony.
Nothing...it's just...I didn't see my father at the ceremony.	He'll show up.  C'mon, what's really wrong?
Since when are you such a smart shopper?	Since my little girl became a mom...
Since my little girl became a mom...	You disappointed in me?
I'm so sorry, honey...	Daddy, he's coming back...Krueger's coming back.  Make them understand.
Thanks for everything, Dad.	You sure you don't want a ride to work?
You sure you don't want a ride to work?	It's just across the park.
Where are we going?	To take a picture.
You do good work, Alice.	So did Dan.
You think that's the place she's buried?	If they actually bothered to bury her.
Are you alright?	Yeah...So that's him.  And you're not crazy.
Hey, what's wrong with you -- let's see a smile.	Had kind of a long night.
I don't understand.	She killed herself.  Her soul's gonna be in torment.
They think I'm nuts.	That's their problem.
I thought about that.	She must've fallen asleep at the table...
Mark, are you okay?	Yeah.  I'm just aces.
I've got to write some of this down.	That's why it's my fault Dan's dead.
My dad's got this thing about drinking in the house.	Well we gotta do something!
Not to mention the heartbreak of psoriasis.	Greta, come on.  One burger with me?
Yeah, when are you gonna come to your senses?	Next life.  Oh, what's that?
Next life.  Oh, what's that?	My undying love.  Have some.
Stop saying that, it's bullshit.	I want to talk about the baby.
These things are wild...  What do you think?	Makes you look like a nun--
But if they <u>do</u>?	I don't know.
Unidentified Flying Objects.	Then...this is a 'flying saucer?'
What is it?	Your 'out.'  This came for you.
Your 'out.'  This came for you.	My father!  He's not - ?
Dave - !	What's goin' on in here, Lad? What - ?
Somewhere down there?	Wonder where Powell and Carney are?
Wonder where Powell and Carney are?	We'll have to look for them later.
You hear that?	The sound again?
We're stuck tight!	Skipper!  Look at the depth gauge!
<u>That's</u> the worst possible moment?	What could be worse than disappoint- ing a little girl?
What could be worse than disappoint- ing a little girl?	Disappointing a <u>big</u> girl!
What course, Skipper?	Right at our one-eyed friend!
Course and speed?	Speed...about twenty-two knots. Course...due north!
Is there any way out of it?	Seems to be all around...
Seems to be all around...	What about down?
Now they feel it...down below.	Radiation level...constantly rising...
As we near the Pole...	There's got to be an explanation!
The radiation level - from the saucer - it's rising!	What direction does the system indicate?
Straight to the Pole - at almost fifty knots!	Nothing we can do, now.
Right <u>at</u> him?	That's what I said!
That's what I said!	But - what can we accomplish?
But - what can we accomplish?	We can <u>ram</u> him!
You're sure it's Cyclops?	Take a look.
Determine extent of damage, immediately.	After torpedo room:  Report!
What do you think?	I think I should have joined the Air Force!
Due north.  At five knots...no, six!	Toward the Pole!
Well, I'll be - !	I'll be another!
This is from three years ago. Some difference, huh?	What is the Northcountry Development Association?
Has anybody offered to buy it?	As a mater of fact, yes. LaRiviere.
Chub says you're fired.	He can't fire me. LaRiviere already did that this morning.
What are you boys up to?	Same old shit.
Fine. I'll need a $500 retainer. You can mail it.	Jesus. How much... how much will the whole thing cost?
He's on to us!	Shit! What are we gonna do?
You can't buy Wade off.	We bought you.
We bought you.	That was me.
Lawyer? I don't need no lawyer, do I?	No, of course not. Just say it, that's all.
You heard the news.	I hear Twombley got shot.
Sun's gettin high.	Deers have ears too.
Drafted by the Red Sox.	You played for the Sox?
You played for the Sox?	Double A. New Britain.
You might not kill it.	You think so.
Open the door, will ya?	Why don't you quit now, you want out so bad?
Why don't you quit now, you want out so bad?	Open the door. We're late.
Twombley sure as hell won't be shooting it again.	He sure as hell won't.
Where'd Twombley get shot?	In the chest.
In the chest.	No, I mean whereabouts.
No, I mean whereabouts.	A half mile in, along the old lumber road.
A half mile in, along the old lumber road.	You bring him up yourself? That's a steep climb.
You bring him up yourself? That's a steep climb.	The ambulance guys lugged him up.
The ambulance guys lugged him up.	You stayed away?
On your sleeve.	Musta... How'd I know? What're you doing, playing cop?
Like you and Gordon?	Right. The sonofabitch couldn't get along without me.
Right. The sonofabitch couldn't get along without me.	Yeah, he'd go broke tomorrow if you quit him.
I thought I told you to move that truck!	Relax, Chief. We're leaving. You wanna toke?
No brag. Just fact.	Got you for -- 450, 500 bucks?
Jill, please, it's alright. Nothing happened.	I want to go home.
I want to go home.	Okay, let's go home, then.
You're a policeman.	Nope. Not anymore. I'm nothing anymore.
Please don't cry. Please, honey.	What are you sorry for?
You can't have nothing, Jill. We need lunch. Mr. Pizza?	Same thing, Daddy. Mommy says --
Same thing, Daddy. Mommy says --	I know what Mommy says. I'm in charge today, though.
Are we going in this?	Yeah. My car's in the shop. This'll be fine.
Yeah. My car's in the shop. This'll be fine.	It's pretty old.
It's pretty old.	It belongs to Pop.
I called Mommy.	What? You called Mommy? Just now?
Go on, Jill. Some of those kids you still know.	I don't want to.
Yeah. It's stupid.	I guess they're stupid.
I guess they're stupid.	Did you do that when you were a kid?
Was it funny?	To us it was.
To us it was.	But it's not funny now.
I bet you did lots of bad things.	What are you talking about?
