Well, thank you.	You're late again.
Make him see reason.	"Talk to him.
What? Wh-what does that mean? My God.	I knew this was going to happen.
Jesse didn't go there to hurt anyone.	He poured gasoline all over our house, Walt.
He tried to set our house on fire.	He changed his mind.
He poisoned a little kid.	An eight-year-old boy.
And you don't wanna be	So put it out.
It's It's gonna go great for me.	So you're angry.
I can't sleep.	I'm not eating.
Not like this.	Not like him.
It'd be bad for Hank.	Our friend made that clear in his little movie.
Nothing suspicious about that at all.	Tell me about this movie.
I wouldn't hurt anybody.	I just It just feels good to think about it.
What happened? Are you in danger? No.	No, no, no, not at all.
He was a little keyed-up.	Gave him a couple sleeping pills.
Everything okay? - Oh, yeah.	Just business stuff.
Should've brought our suits, huh? It's okay.	It's all right.
Would you like some coffee? Morning.	You want some coffee? Uh, no.
Yeah, yeah, yeah.	I'll run some errands.
We're gonna catch him.	We gotta do this first, okay? Come on.
Anything and everything.	Just tell us your story, okay? Start from the beginning.
When did you first meet Walter White? Right.	Okay, uh I first met Mr.
White-- Walter White-- in junior year chemistry.	He was my teacher.
You believe him? Yeah.	I do, unfortunately.
Yeah, well, no weapon, no bodies, no working	Just the word of one nut-job meth-head against Mr.
Whoa, whoa, whoa.	Go and talk to that asshole? You-- you can't be
Go and listen.	He wants to explain himself.
Except when it comes to you.	He cares about you.
White's gay for me.	Everyone knows that.
No, I mean it.	Based on everything you told us.
Uh, made you a 50-50 partner.	He didn't need to do that.
Look-- look, you two guys are just guys, okay? Mr.	White-- he's the devil.
This is what's happening.	I gotta piss.
Can I piss? Yeah.	Down to the left.
Don't cross your arms, if you can help it.	Pancho Villa, Salma Hayek.
Pancho Villa, Salma Hayek.	You getting that? Loud and clear, idiota.
How's it looking, Gomie? No change.	He's just sitting there.
He's taking off.	I think he's running.
You got him? He's at the pay phone.	Who the hell is he calling? Oh, no.
No, no, no.	Come on, kid.
No! Come on! Hello? Nice try,	Jesse, where are you? I just wanna talk to you.
Next time, I'm gonna get you where you really live.	Jesse, listen to me.
What? To get him.	There's another way.
Put out the lighter.	He can't keep getting away with it! He won't.
If I go to this plaza, I'm a dead man.	Next time I'm gonna get you where you really live.
Uncle Jack, that mask I think you should Mr.	White says the fumes aren't good to breathe.
Let me worry about what I breathe, kid.	Just hurry this up so I can grab a smoke.
Nice going, nephew.	Thanks, Uncle Jack.
Yes, percentage-wise, it's marginally improved.	And congratulations, Todd.
To my eye, it's kind of blue.	Yeah, a little.
Hell, we'll put food coloring in it.	Make it any damn shade you want.
Let's make some money.	Here you go, Ms.
You burned it, like a	Yeah, sort of, I guess.
I believe in you.	Please do make the cook better.
It's very important to me.	I've got a flight to catch.
White? - Just one target.	Not currently in jail.
Had a lot of questions.	No calls, though, right? You got his phone? Yeah.
He's on ice? The safe house off Rio Bravo.	I got Van Oster babysitting him.
He won't lawyer up.	What the hell, man? Ugh.
Nice poker face.	Look, uh, relax.
Let's cut to the chase.	We have a wire on Walt's phone.
We got the recording.	I can-- I can let you hear it.
I don't know where his money is.	That ain't what we heard.
You know, plastic, black, I got 'em at Home Depot.	Filled up every last damn one of 'em too.
And, uh, where did you rent the van? Lariat.	The one on Candelaria and Monroe.
That's all I know.	All right, uh, Mr.
So don't put that back in.	Agent Van Oster will stay here with you.
You're in good hands.	He's our best man with a
So just one guy this time.	Not even in lockup.
"Rat patrol"? No.	No, he's not a rat.
He's just angry.	He's not a rat.
bullet to the back of the	Something he doesn't see coming.
I respect that.	There's too many savages out there.
Let's just talk about the money.	No, we don't want your money.
We want you to cook for us.	You know I'm out of the business.
One cook after the job is done.	Time is of the essence.
Do you understand? We'll do him tonight if you want.	Just tell me where he is.
I don't know if you remember me.	I'm Walter White, Jesse's friend.
You met Brock before, right? Yes.	Yes, I have.
Jesse's lawyer's name is Saul Goodman.	I have his card somewhere.
Jesse, hey, it's Andrea.	Your friend Walter just dropped by.
Thank you, Andrea.	I appreciate that.
I'll call you back, okay? And thank you.	See ya, Brock.
We on? Yes.	It should be any time now.
And take him away from here.	I don't want the mother or the boy to know.
You got it.	Jesse, hey, it's Andrea.
Here's your change.	Oh, um, count it out, please.
That is 20.	Give this to your car wash professional.
Have an A-1 day.	Oh, you too.
Excuse me, son.	That'll be 14.
How you doin'? Y-you're on our billboard.	You're-- - you're the lawyer guy.
So, three makes 15, and 20, 25, 30, Thank you.	I like your commercial.
Don't drink and drive.	But if you do, call me.
Have an A-1 day.	Mom, you, um-- you forgot to say it.
Nobody's seen him.	He's not answering his phone.
So what about Jesse? He hasn't shown up yet.	He will, Saul.
Next thing I know, radio silence.	You're the math whiz.
Add up two and two.	Jesse is not on some kill
It's me he wants.	It's just me.
Next-- inventory lists.	uh, ten pine-scented air fresheners.
You get the picture? I get it.	I get it.
There goes ten G's.	Aw, nice orange flames.
You're not hurting anyone but my family.	Okay? Look, I-- I can't spend this money.
It's not for me.	I won't be around long enough to use it.
It belongs to my children.	Oh, you're gonna talk about kids.
You're seriously gonna go there? I am sorry about Brock.	No, you're not.
Where are you? Son of a bitch.	Son of a bitch.
No, no, no.	Come on, come on.
I'm guessing he's got backup.	How many guys? - I don-- I-- I don't know.
Where are you? - Tohajiilee.	Indian reservation, west of town.
"34, 59, 20, 106, 36, 52.	" Those are coordinates.
It looks like there could be three men total.	Wait a minute.
What? What is it? Stay in the car.	Oh, my God.
Lace your fingers behind your head.	Walk backwards to me.
Yo, I remember this place.	The very first place we cooked, like, ever.
I got him.	Dead to rights.
You got Walt? Yeah.	I got him in handcuffs as we speak.
I gotta go.	It may be awhile before I get home.
I love you.	I love you too.
Where are you? - Get a pen.	Jack, don't come.
I've got him.	Dead to rights.
No, no, no.	Not in here.
Yeah, yeah, sure.	I can-- I can pick up a pizza.
Hopefully Bogdan won't keep me too late.	He better not.
Just feels right, you know? It's my new favorite.	Well, it's a front-runner, for sure.
Oh, my God.	We haven't been there in forever.
Get back here.	The hell not? He's DEA.
No, he's-- he's family.	Say again? He's my family.
Well, it seems to me we did you a solid.	You weren't supposed to be here.
It doesn't concern you.	We just wasted his partner here, and he's wearing a
So, yeah, I'd say it does concern me.	This is between him and me.
No cavalry comin'? No.	You bet your ass the cavalry's comin'.
You can go anywhere.	You can do anything.
Think about it.	You can have any future that you want.
And you can go fuck	Hank listen to me.
Do what you're gonna do.	Pretty specific directions.
Hell yeah! Oh, Jesus.	Would you look at that?  Hell yeah!
Let me get on this side.	Out of there, man.
I'm leaving you a barrel.	Boys are gonna load it for you.
Good to go? Hey, Uncle Jack.	Well, he was out here with those feds.
Works for me.	Work for you? - Let's go.
I watched Jane die.	I was there.
And I watched her die.	I watched her overdose and choke to death.
I could have saved her.	But I didn't.
That truck belong to you? It does.	I'd like to buy it.
It's not for sale.	Hey, Walt, it's me.
What have you been up to? Oh, you know.	This and that.
This isn't the best time.	Well, Flynn looks like he can hold down the fort.
Well, I do.	So you can just sit there and listen.
I got a call from Hank.	He arrested Walt three hours ago.
And I, for one, could not be happier.	I almost didn't come here.
And you have got to prepare yourself.	Hank will help you as much as he can.
I know he will.	And I will support you through this.
You understand me? Answer me.	Do you understand me? Yes.
He deserves to know the truth from his family.	Not a bunch of uniformed strangers.
No. No. No, he cannot-- No.	You tell him. Or I will.
There's no way around this.	He needs to know, and he needs to know now.
Just-- just go there.	Just go to his house and get it.
We're on it.	Get it! No one else knows about it.
No one else knows! I swear!  Let's cook.	You're completely out of your mind.
It's the truth.	It is, Flynn.
Then both of you are out of your minds.	You're full of shit, is what you are.
This is bullshit.	I wanna talk to dad.
Whose truck is that? [Walter, Jr.	] Dad? Listen.
Just talk to me please.	Our priority right now is to pack.
This is our priority.	Hank had you in custody.
We can have a fresh start.	Whole new lives.
All we have to do is go.	We have to go right now.
No!  I tried to save him.	Uncle Hank is dead? I-- Mom, it can't be true.
Just stop, please.	It just can't be true.
Everything-- everything is gonna be okay.	Everything's gonna be fine.
I promise you.	But we need to leave right now.
Dad, what's going on? Talk to me.	Just stop for one second.
Look, I told you to get your things.	Stop walking away.
We're going right now.	You have to tell me.
Aah!  [Walter, Jr.	] Stop it.
Get away from us! [Walter, Jr.	] Just stop! Stop! Just stop it! Mom, stop it.
My dad, he pulled a knife on my mom.	He attacked her.
Yeah, he's-- he's still in the house.	We're at 308 Negra Arroyo Lane.
Where's your belly button? Where's your belly button? There.	Now don't you feel better? You're all nice and dry.
Gold, wire-framed glasses.	Hi, you've reached the White family.
Please, leave a message.	Skyler, it's me.
I need you to pick up the phone.	Start tracing the landline.
Skyler - The number's 505-177-8987.	I know you're there, so pick it up.
Skyler? - Need the location of an incoming caller.	You hear me? Answer the pho-- Walt.
I told you, Skyler.	I warned you for a solid year.
'Cause you need to learn.	You bring her back.
Maybe now you'll listen.	Maybe now you'll use your damn head.
Walt, you have to stop.	You have to stop this.
You stupid bitch.	How dare you? I'm sorry.
Tell me what happened.	Where is Hank? Please.
We need to know.	You're never gonna see Hank again.
He crossed me.	You think about that.
Family or no.	You let that sink in.
I've still got things left to do.	_  Hey.
Put the knife down, please.	Get out! - Ah! Ahh! I need the police.
Leave your luggage where it is for the moment.	That good? Sure.
What's in Nebraska? You.	From now on.
I got a place downstairs, out of sight.	It's not the Ritz-Carlton, but it's comfortable enough for short-term.
He's a special case.	Gonna take some doing.
How's he holding up? You be the judge.	We will find Hank.
When he saw the gun, he thought-- Hey,	Does this pussy cry through the entire thing? Just
Such a bitch.	He won't quit.
Like it was nothing.	Hey, Uncle Jack.
Give me a list of hitters, mercenaries.	Yes, yes, I remember.
We'll take the time to vet them.	Make sure there are no undercover cops on the team.
Five should do it.	Providing they're the right men for the job.
I don't know any hit men.	You know a guy who knows a guy.
Just get me the contacts.	Anybody in that world.
I'm paying top dollar.	We'll find them.
The phone call was a smart move.	Kudos to you.
Odds are it was recorded.	It's gonna play great for a jury.
It might even buy her a mistrial.	In a year and a half.
She knows nothing.	Well, too bad for her, then.
That condo is gone.	Your bank accounts, they're frozen.
Her picture's probably on TV right now, next to yours.	Who's gonna hire her? Money's no problem.
Internet, the phone-- it's all tapped.	Hey, Mike was no dummy.
Maybe they let your family stay in the house.	After all, the house predates the criminal enterprise.
What I do, I do for my family.	My money goes to my children.
And then, and only then Am I through.	Do you understand? Everything good? Define "good.
" You're set.	Time to go.
You'll be a little longer.	I'm still working on transportation.
Change of plans.	He's coming with me.
I can use him.	I'll give you two a minute.
Hey, I'm a civilian.	I'm not your lawyer anymore.
I'm nobody's lawyer.	The fun's over.
You're still part of this.	Whether you like it or not.
You remember what I told you? It's not over.	Unti It's over.
I don't know where he is.	All right, go and discuss this with your lawyer here.
You gotta do that.	But you've seen some people.
Like that lady who came into the car wash.	The one with the black hair.
Okay, ma'am, I'm gonna need you to say it.	I will not say anything about her.
Stay where you are.	We'll talk like this.
I mean, the message was received loud and clear.	The message? Yeah.
Look, I know you did your best.	I just think-- Hi.
You're not Western Union, Todd.	We can't just settle for you sending messages.
I'm just-- I'm not used to this kind of risk.	We're gonna have to take a break.
And it's blue.	Just like before.
That's Heisenberg level.	He's not with you? Well, next best thing.
Well, they're not going to find him.	He's with us, and he's not going anywhere.
We make a good team.	I think it's kind of mutually good.
Ought to warm the place up pretty good.	Plus you can cook on it.
On the TV front, the reception's pretty much nil.	You got some mountains in the way.
Internet? Same deal.	Also satellite, cable TV, drop phone, car.
You want news, I'll bring the Albuquerque papers.	Whatever you need, just - put it on the list.
Look, I have business to conduct.	Your business is your business.
My business is keeping you out of custody.	You are the target of a nation-wide manhunt.
Your face is all over TV.	You are the hottest client I have ever had.
And what's keeping me from walking out that gate? Nothing.	There's a little one-horse town eight miles down the hill.
Hey, you awake? Huh? Yeah.	We had some Ben and Jerry's.
There you go.	So that batch that you just cooked was 96%.
Well, better get some sleep.	Tomorrow's gonna be a big day.
Got a whole new batch.	Hey, um, Todd.
Actually, I brought him with me.	Jesse's here? Yeah, he's right over there.
In that truck.	Where? No! Just so you know, this isn't personal.
I brought you a couple of cases of ensure.	Maybe put a little weight on you.
Kids are both still with her for the moment.	Uh, there's no court date yet.
Looks like a deer in the headlights.	Think I got socks older than him.
I saw her shopping one time.	She looks pretty good.
And she's using her maiden name.	I wouldn't take that personally under the circumstances.
Those working for you? Oh, yeah.	I took a run by your old house.
Uh, the auction's still pending.	They put a fence up around it.
The neighbors complained, so the bank put up a fence.	You ready? Hmm? Yeah.
Sorry about last time.	It should go better now.
I watched a couple of YouTube videos.	It's all about finding the vein.
Give it to me.	I'll do it.
Think I had worse my last physical.	I will see you on Let's see.
Cards? All right, well The game will be Seven Card.	I'll deal, since you are encumbered.
I'm sorry to pull you out of class.	It's your Aunt Marie.
It sounds very important.	You can take it in here, okay? Okay.
Hey, Aunt Marie.	Um, what's-- what's going on? Hold on a sec, honey.
Son, it's me.	Please don't let on.
Carmen's nearby, right? She cannot know.	Son, are you there? Ye-- yes.
I'm sending Louis a package.	Now, it's addressed to Louis, but it's for you.
Your mother and your sister.	There's-- there's money inside.
It was all that I could fit into the box.	It has to be a secret.
So you'll-- you'll talk to Louis, right? You kill Uncle	You kill him!
What you did to mom-- you	You kill Uncle
Listen to me.	You've got to listen to me.
Just shut up.	Just stop it.
Sto-- stop it.	I don't want anything from you.
I don't give a shit.	You need this money.
Your mother-- You kill Uncle	You kill him! Your mother needs this
It can't all be for nothing.	What you did-- Just shut up.
The company name.	We came up with it by combining our names.
Uh, "Schwartz" means black, black plus White makes gray.	It's Gray Matter Technologies.
Show me your hands.	Just get me home.
Just get me home.	I'll do the rest.
Let me get a pen.	Where do they Tesuque, I see.
No, no, it's-- it's their call.	I know how busy Mr.
All right, wait.	The answer is  - No.
The sweet smell of success.	And per se has Thomas Keller.
Game, set, and match.	The whole vibe is so Yountville.
What, Islamabad? - No, Napa.	We have to go to Napa.
Unless you told her otherwise.	No, I haven't talked to her.
Oh, look, here.	Just a pear, that'll be perfect.
You looked great.	You both did.
It'll all fit.	That's all right.
They won't take my money.	Even if they did, the federal government wouldn't let them.
It certainly would.	My children are blameless victims of their monstrous father.
They use my money, never yours.	Okay, Walt, sure.
Absolutely you can.	Oh! Don't move.
Cheer up, beautiful people.	This is where you get to make it right.
For real, yo.	Whole thing felt kinda shady, you know, like, morality-wise? Totally.
How do you feel now? Better.	Yeah, definitely improving.
Seriously? You said he moved to Alaska.	That's what I heard.
Right on, Jesse.	Passing the torch.
It's easy money.	Until we catch you.
Would you like to see a menu? No, thank you.	Chamomile tea with soy milk, please.
All right, you got it.	Hey, how you doing? Good.
How's things? Hey, I like your shirt.	My blouse? Nice, yeah, the color.
It's kind of a cornflower.	Before you say or do anything, just hear me out.
Todd-- Nobody knows that I'm here.	Just listen for two minutes and then I'll leave.
Just two minutes of your time.	That's all I ask.
You've been at it long enough.	You must be running low.
I have a new method that requires no methylamine.	And it's easy, and it will keep you in business.
I need the money.	I've spent almost all of mine.
He'd get it.	This is a win-win situation.
Skyler--  Hey.	What's up? Walt's in town.
Carol's on the right.	Becky, Carol, whatever.
She saw him at your old house.	Just this morning, plain as day.
They're probably watching your place, too.	I mean, I know that's what Hank would do.
There's no way Walt's getting to you.	They are absolutely going to catch him.
No doubt about it.	That arrogant asshole thinks he's some criminal mastermind, but he's
Didn't have to.	You look terrible.
And I needed a proper goodbye.	Not our last phone call.
What's tonight? We don't want your money, Walt.	I thought Flynn made that clear.
I spent the last of it getting here.	All I have to give you is this.
Call the DEA once I leave.	Tell them I was here.
Those numbers are GPS coordinates.	For what? A burial site.
That's where they'll find Hank and Steve Gomez.	That's where I buried our money.
I liked it.	I was good at it.
And I was really I was alive.	Flynn will be home soon.
Before I go may I see her? Whoo.	Damn man, this thing's a classic.
What block you got in it? Couldn't tell you.	That's the one you want.
No replacement for displacement.	Where to? To the clubhouse.
Christ, I'm not wearing a wire.	Okay? My wallet and keys? Yeah, you'll get them back.
Keep your eyes open.	Jesus, look at you with that head of hair.
Is that real? Yes.	That's not a wig? Seriously? No.
What were you doing before, shaving it? Yes.	Christ, that is one fine head of hair.
The heat's off her.	She can break loose a barrel every now and again.
Hey, come on.	You owe me.
Instead, you partnered with him.	You're his partner now-- Whoa, whoa, whoa, stop.
Well, go get him.	Bring him here.
Uncle Jack-- - No.	No, no, no.
Now, this look like a partner to you? Come here.	Take a look.
Come here! Take a look at him.	Have a gander.
This is my partner.	Right, partner? Right, buddy? Hardworking, good partner.
You want this.	Say the words.
Then do it yourself.	Pick up the phone.
They're all gone.	Todd? Who is this? It's Walt.
Oh, my God.	Well goodbye, Lydia.
